0,1,2,3,4,5,6,7,8,9
Leon Bailey,2021,14,1,2,2,0,0,514,
Angeliño,2018,43,1,12,6,0,0,3860,
Angeliño,2019,31,1,7,3,0,0,2527,
Angeliño,2020,37,8,11,5,0,0,3162,
Angeliño,2021,34,2,11,3,1,0,2806,
Cristian Romero,2018,29,2,1,10,1,1,2519,
Cristian Romero,2019,33,1,2,14,1,0,2880,
Cristian Romero,2020,42,3,5,15,0,0,3532,
Cristian Romero,2021,24,1,0,10,1,0,2011,
Moise Kean,2018,17,7,0,2,0,0,661,
Moise Kean,2019,33,2,2,1,0,0,1024,
Moise Kean,2020,45,19,1,5,0,0,2472,
Moise Kean,2021,34,5,2,3,0,1,1138,
Hakan Calhanoglu,2018,46,4,13,6,0,0,3547,
Hakan Calhanoglu,2019,38,11,9,6,0,0,2931,
Hakan Calhanoglu,2020,43,9,12,4,0,0,3348,
Hakan Calhanoglu,2021,36,6,9,7,0,0,2539,
Cristian Romero,2018,29,2,1,10,1,1,2519,
Cristian Romero,2019,33,1,2,14,1,0,2880,
Cristian Romero,2020,42,3,5,15,0,0,3532,
Cristian Romero,2021,24,1,0,10,1,0,2011,
Manuel Locatelli,2018,31,3,4,8,0,0,2028,
Manuel Locatelli,2019,34,0,4,9,0,0,2671,
Manuel Locatelli,2020,34,4,3,9,0,0,2885,
Manuel Locatelli,2021,39,3,5,6,0,0,2812,
Robin Gosens,2018,36,3,2,5,0,0,2488,
Robin Gosens,2019,43,10,8,4,0,0,3372,
Robin Gosens,2020,44,12,8,8,1,0,3525,
Robin Gosens,2021,12,2,2,3,0,0,647,
Anthony Martial,2018,38,12,3,3,0,0,2327,
Anthony Martial,2019,48,23,12,1,0,0,3566,
Anthony Martial,2020,36,7,9,1,0,1,2422,
Anthony Martial,2021,19,2,1,0,0,0,825,
Patson Daka,2018,26,6,2,2,0,0,1137,
Patson Daka,2019,45,27,12,1,0,0,2690,
Patson Daka,2020,42,34,12,4,0,0,2905,
Patson Daka,2021,28,10,4,1,0,0,1538,
Chris Wood,2018,46,13,3,2,0,0,2970,
Chris Wood,2019,35,14,1,1,0,0,2606,
Chris Wood,2020,37,12,4,0,0,0,2954,
Chris Wood,2021,31,4,0,1,0,0,2457,
Lucas Digne,2018,37,4,5,6,0,1,3146,
Lucas Digne,2019,39,1,8,7,0,0,3396,
Lucas Digne,2020,36,0,7,3,0,1,3191,
Lucas Digne,2021,23,1,1,5,0,0,1916,
Matheus Cunha,2018,39,9,2,3,0,0,1952,
Matheus Cunha,2019,24,5,3,3,0,0,1103,
Matheus Cunha,2020,28,8,7,9,0,0,2242,
Matheus Cunha,2021,27,6,3,4,0,0,895,
Bryan Gil,2018,36,5,7,7,0,1,1902,
