player_id,transfer_str,club_from,club_to,article_link,article_snippet,article_date,article_source,article_lang
292246,Transfer failed,https://www.transfermarkt.com/rb-salzburg/startseite/verein/409,https://www.transfermarkt.com/wolves/startseite/verein/543,https://www.telegraph.co.uk/football/2019/12/11/wolves-prepare-january-swoop-salzburg-forward-hwang-hee-chan/,"Nuno Espirito Santo is joining the Premier League race for Hwang Hee-chan, the Red Bull Salzburg forward.Wolves are ready to move for the South Korea international next year after identifying him as one of their prime targets to strengthen Nuno’s squad.Kevin Thelwell, the Wolves sporting director, jetted out to Austria to watch Hwang in Salzburg’s defeat to Liverpool in the Champions League on Tuesday night and it is understood officials from Molineux have also made other scouting missions this season.","Dec 12, 2019",www.telegraph.co.uk,en
292246,Transfer failed,https://www.transfermarkt.com/rb-salzburg/startseite/verein/409,https://www.transfermarkt.com/wolves/startseite/verein/543,https://tbrfootball.com/wolves-fans-thrilled-with-reported-interest-in-hwang-hee-chan/,Wolves fans thrilled with reported interest in Hwang Hee-chan,"Dec 23, 2019",tbrfootball.com,en
292246,Transfer failed,https://www.transfermarkt.com/rb-salzburg/startseite/verein/409,https://www.transfermarkt.com/arsenal/startseite/verein/11,https://www.dailymail.co.uk/sport/football/article-7554473/Arsenal-scouting-South-Korean-star-forward-Hwang-Hee-chan-starring-Red-Bull-Salzburg.html,Arsenal and Crystal Palace are among the Premier League clubs keeping a close eye on Salzburg forward Hwang Hee-chan.Hwang has been watched carefully by scouts from major European leagues in the last three seasons but produced a breakthrough performance for his club in their 4-3 Champions League defeat at Liverpool last week.,"Oct 10, 2019",www.dailymail.co.uk,en
292246,Transfer failed,https://www.transfermarkt.com/rb-leipzig/startseite/verein/23826,https://www.transfermarkt.com/fenerbahce/startseite/verein/36,https://www.fanatik.com.tr/son-dakika-fenerbahceden-hee-chan-hwang-hamlesi-2236372,"Last minute! Fenerbahce's Hwang Hee-chan transferHeading to the Far East market after the transfer of Kim Min-jae, Fenerbahçe took the 25-year-old Hwang Hee-chan, who played in the German team Leipzig, to the agenda.A surprise name came to the fore in Fenerbahçe, which works very hard for the transfer of the striker. Heading to the Far East market after Kim Min-jae's move, the Yellow-Navy Blues pressed the button for Hwang Hee-chan, who played in the Bundesliga team Leipzig.The Korean striker, who transferred from Salzburg to Leipzig for 9 million Euros last season, has a contract until 2025. It is also among the information that Fenerbahçe management plans to make a sponsorship agreement with a Far East company for this transfer.(GoogleTranslate)","Aug 13, 2021",www.fanatik.com.tr,en
563963,Done deal,https://www.transfermarkt.com/real-valladolid/startseite/verein/366,https://www.transfermarkt.com/southampton/startseite/verein/180,https://www.skysports.com/transfer/news/12691/12028648/southampton-resume-interest-in-mohammad-salisu-as-one-of-two-summer-centre-back-targets,Southampton have renewed their interest in Mohammad Salisu along with another centre-back target on the European continent.The Valladolid player has a £10.9m (€12m) release clause in his contract that is not expected to be a problem for the Saints should they decide to press ahead with the move.,"Jul 15, 2020",www.skysports.com,en
563963,Done deal,https://www.transfermarkt.com/real-valladolid/startseite/verein/366,https://www.transfermarkt.com/southampton/startseite/verein/180,https://www.footballinsider247.com/exclusive-southampton-finalise-8-figure-signing-after-agreeing-35k-a-week-deal/,"Southampton have agreed the signing of Mohammed Salisu from Real Valladolid after finalising personal terms, Football Insider can reveal.The Premier League club will pay the £10.9m (€12m) release clause in the Ghanian centre-back’s contract.","Jul 21, 2020",www.footballinsider247.com,en
563963,Done deal,https://www.transfermarkt.com/real-valladolid/startseite/verein/366,https://www.transfermarkt.com/southampton/startseite/verein/180,https://www.skysports.com/football/news/11095/12042907/southampton-sign-mohammed-salisu-for-10-9m-from-real-valladolid,Southampton have completed a deal to sign centre-back Mohammed Salisu from Real Valladolid for £10.9m.Saints triggered a buyout clause in the 21-year-old's contract and he has agreed a four-year deal to move to St Mary's.,"Aug 5, 2020",www.skysports.com,en
563963,Done deal,https://www.transfermarkt.com/real-valladolid/startseite/verein/366,https://www.transfermarkt.com/southampton/startseite/verein/180,https://www.southamptonfc.com/news/2020-08-12/southampton-football-club-transfer-announcement-mohammed-salisu,Southampton Football Club is delighted to announce it has completed the signing of centre-back Mohammed Salisu from Real Valladolid.,"Aug 13, 2020",www.southamptonfc.com,en
344888,Transfer failed,https://www.transfermarkt.com/fc-metz/startseite/verein/347,https://www.transfermarkt.com/chelsea/startseite/verein/631,https://www.caughtoffside.com/2020/01/08/habib-diallo-chelsea-transfer-bid-made-to-metz/,"Chelsea have reportedly made a bid for the transfer of Metz striker Habib Diallo, who has also been linked with Tottenham and Leicester City in recent times.The 24-year-old has been in fine form in Ligue 1 this season, scoring ten goals and contributing one assist in 19 appearances so far.","Jan 8, 2020",www.caughtoffside.com,en
120443,Transfer failed,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13,https://www.transfermarkt.com/everton/startseite/verein/29,https://www.liverpoolecho.co.uk/sport/football/football-news/atletico-confirm-everton-transfer-interest-18973718,"Everton are in talks to sign Atletico Madrid full-back Santiago Arias according to their sporting director Andrea Berta. (...)Speaking to Kicker, the Atletico sporting director said: “We’re talking to Roma, Everton and PSG.”","Sep 22, 2020",www.liverpoolecho.co.uk,en
