player_id,transfer_date,transfer_str,club_from,club_to,forum_link,clean_link,all_links
185245,03.08.2020,Transfer failed,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3,https://www.transfermarkt.com/wolves/startseite/verein/543,https://www.transfermarkt.com/jhon-cordoba-to-wolverhampton-wanderers-/thread/forum/180/thread_id/13764/post_id/22713#22713,https://www.transfermarkt.com/jhon-cordoba-to-wolverhampton-wanderers-/thread/forum/180/thread_id/13764/page/1,['https://www.transfermarkt.com/jhon-cordoba-to-wolverhampton-wanderers-/thread/forum/180/thread_id/13764/page/1']
282388,25.06.2021,Transfer failed,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390,https://www.transfermarkt.com/west-ham/startseite/verein/379,https://www.transfermarkt.com/g-simeone-to-west-ham-united-/thread/forum/180/thread_id/14397/post_id/24156#24156,https://www.transfermarkt.com/g-simeone-to-west-ham-united-/thread/forum/180/thread_id/14397/page/1,['https://www.transfermarkt.com/g-simeone-to-west-ham-united-/thread/forum/180/thread_id/14397/page/1']
413032,02.10.2020,Done deal,https://www.transfermarkt.com/stade-brestois/startseite/verein/3911,https://www.transfermarkt.com/southampton/startseite/verein/180,https://www.transfermarkt.com/ibrahima-diallo-to-southampton-fc-/thread/forum/180/thread_id/14027/post_id/23483#23483,https://www.transfermarkt.com/ibrahima-diallo-to-southampton-fc-/thread/forum/180/thread_id/14027/page/1,['https://www.transfermarkt.com/ibrahima-diallo-to-southampton-fc-/thread/forum/180/thread_id/14027/page/1']
20005,05.01.2019,Transfer failed,https://www.transfermarkt.com/atalanta-bc/startseite/verein/800,https://www.transfermarkt.com/hilal/startseite/verein/1114,https://www.transfermarkt.com/papu-gomez-to-al-hilal-riyadh-/thread/forum/343/thread_id/6303/post_id/6847#6847,https://www.transfermarkt.com/papu-gomez-to-al-hilal-riyadh-/thread/forum/343/thread_id/6303/page/1,['https://www.transfermarkt.com/papu-gomez-to-al-hilal-riyadh-/thread/forum/343/thread_id/6303/page/1']
420002,25.08.2020,Done deal,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39,https://www.transfermarkt.com/crystal-palace/startseite/verein/873,https://www.transfermarkt.com/j-mateta-to-crystal-palace-/thread/forum/180/thread_id/13867/post_id/25197#25197,https://www.transfermarkt.com/j-mateta-to-crystal-palace-/thread/forum/180/thread_id/13867/page/1,['https://www.transfermarkt.com/j-mateta-to-crystal-palace-/thread/forum/180/thread_id/13867/page/1']
420002,11.06.2019,Transfer failed,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39,https://www.transfermarkt.com/watford/startseite/verein/1010,https://www.transfermarkt.com/j-mateta-to-watford-fc-/thread/forum/180/thread_id/12343/post_id/20609#20609,https://www.transfermarkt.com/j-mateta-to-watford-fc-/thread/forum/180/thread_id/12343/page/1,['https://www.transfermarkt.com/j-mateta-to-watford-fc-/thread/forum/180/thread_id/12343/page/1']
420002,10.06.2019,Transfer failed,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39,https://www.transfermarkt.com/southampton/startseite/verein/180,https://www.transfermarkt.com/j-mateta-to-southampton-fc-/thread/forum/180/thread_id/12321/post_id/20572#20572,https://www.transfermarkt.com/j-mateta-to-southampton-fc-/thread/forum/180/thread_id/12321/page/1,['https://www.transfermarkt.com/j-mateta-to-southampton-fc-/thread/forum/180/thread_id/12321/page/1']
420002,10.06.2019,Transfer failed,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39,https://www.transfermarkt.com/newcastle/startseite/verein/762,https://www.transfermarkt.com/j-mateta-to-newcastle-united-/thread/forum/180/thread_id/12320/post_id/20571#20571,https://www.transfermarkt.com/j-mateta-to-newcastle-united-/thread/forum/180/thread_id/12320/page/1,['https://www.transfermarkt.com/j-mateta-to-newcastle-united-/thread/forum/180/thread_id/12320/page/1']
186368,20.01.2020,Done deal,https://www.transfermarkt.com/inter/startseite/verein/46,https://www.transfermarkt.com/newcastle/startseite/verein/762,https://www.transfermarkt.com/v-lazaro-to-newcastle-united-/thread/forum/180/thread_id/13185/post_id/21901#21901,https://www.transfermarkt.com/v-lazaro-to-newcastle-united-/thread/forum/180/thread_id/13185/page/1,['https://www.transfermarkt.com/v-lazaro-to-newcastle-united-/thread/forum/180/thread_id/13185/page/1']
186368,24.11.2019,Transfer failed,https://www.transfermarkt.com/inter/startseite/verein/46,https://www.transfermarkt.com/west-ham/startseite/verein/379,https://www.transfermarkt.com/v-lazaro-to-west-ham-united-/thread/forum/180/thread_id/12943/post_id/21647#21647,https://www.transfermarkt.com/v-lazaro-to-west-ham-united-/thread/forum/180/thread_id/12943/page/1,['https://www.transfermarkt.com/v-lazaro-to-west-ham-united-/thread/forum/180/thread_id/12943/page/1']
284854,24.10.2019,Transfer failed,https://www.transfermarkt.com/barcelona/startseite/verein/131,https://www.transfermarkt.com/spurs/startseite/verein/148,https://www.transfermarkt.com/carles-alena-to-tottenham-hotspur-/thread/forum/180/thread_id/12857/post_id/21555#21555,https://www.transfermarkt.com/carles-alena-to-tottenham-hotspur-/thread/forum/180/thread_id/12857/page/1,['https://www.transfermarkt.com/carles-alena-to-tottenham-hotspur-/thread/forum/180/thread_id/12857/page/1']
284854,15.11.2019,Transfer failed,https://www.transfermarkt.com/barcelona/startseite/verein/131,https://www.transfermarkt.com/getafe/startseite/verein/3709,https://www.transfermarkt.com/carles-alena-to-getafe-cf-/thread/forum/343/thread_id/6574/post_id/7134#7134,https://www.transfermarkt.com/carles-alena-to-getafe-cf-/thread/forum/343/thread_id/6574/page/1,['https://www.transfermarkt.com/carles-alena-to-getafe-cf-/thread/forum/343/thread_id/6574/page/1']
