team_name,team_url,team_manager,team_league_matches,team_league_pd,team_league_pts,team_avg_age,team_foreigners,team_avg_val,team_total_val,team_transfer_income,team_transfer_expense,team_transfer_net,team_rank,season
Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,Diego Simeone,30,20,57,28.3,19,30020000,660500000,23750000,76700000,-52950000,3,2021
Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2021,Julen Lopetegui,29,21,57,28.1,19,15840000,411900000,28500000,41500000,-13000000,2,2021
Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2021,Imanol Alguacil,29,0,48,26.1,7,13840000,387400000,0,2500000,-2500000,6,2021
Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2021,Unai Emery,30,19,45,27.8,12,14710000,382500000,10750000,54500000,-43750000,7,2021
Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2021,Pepe Bordalás,29,-1,40,24.6,17,11670000,291800000,2700000,12850000,-10150000,9,2021
Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2021,Manuel Pellegrini,29,15,50,28.9,11,9000000,243100000,14000000,3500000,10500000,5,2021
Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2021,Unai Simón,29,5,41,26.3,0,8500000,212600000,0,0,0,8,2021
Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2021,Quique Sánchez Flores,30,-5,32,26.2,13,6350000,158800000,21000000,16000000,5000000,15,2021
Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2021,Eduardo Coudet,30,0,36,27.9,9,5940000,124700000,1800000,9020000,-7220000,11,2021
RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2021,Vicente Moreno,29,-6,36,27.3,6,4710000,122500000,0,6000000,-6000000,12,2021
CA Osasuna,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2021,Jagoba Arrasate,29,-7,38,28.0,4,4070000,97600000,0,8700000,-8700000,10,2021
Granada CF,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2021,Rubén Torrecilla,29,-15,28,27.6,13,3200000,92800000,3000000,15700000,-12700000,16,2021
Levante UD,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2021,Alessio Lisci,30,-25,22,28.1,9,2850000,79700000,0,1250000,-1250000,20,2021
RCD Mallorca,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237/saison_id/2021,Javier Aguirre,30,-24,26,27.6,13,2630000,71000000,9000000,10000000,-1000000,18,2021
Deportivo Alavés,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2021,José Luis Mendilibar,30,-28,22,26.9,8,2450000,63700000,3500000,1150000,2350000,19,2021
Elche CF,https://www.transfermarkt.com/fc-elche/startseite/verein/1531/saison_id/2021,Francisco Rodríguez,29,-10,32,29.3,10,2550000,61200000,200000,8199999,-7999999,14,2021
Cádiz CF,https://www.transfermarkt.com/fc-cadiz/startseite/verein/2687/saison_id/2021,Sergio,29,-16,27,28.1,10,2180000,61150000,0,6100000,-6100000,17,2021
Rayo Vallecano,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367/saison_id/2021,Andoni Iraola,28,-5,32,27.9,12,2400000,55300000,2200000,4300000,-2100000,13,2021
Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2018,Niko Kovac,34,56,78,25.7,15,24530000,784880000,84000000,10000000,74000000,1,2018
Borussia Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2018,Lucien Favre,34,37,76,24.4,19,18920000,643250000,114200000,90500000,23700000,2,2018
RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2018,Ralf Rangnick,34,34,66,22.6,22,14090000,479000000,72750000,65629999,7120001,3,2018
Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2018,Heiko Herrlich,34,17,58,24.6,16,13850000,429400000,45000000,31500000,13500000,4,2018
TSG 1899 Hoffenheim,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2018,Julian Nagelsmann,34,18,51,24.4,22,8850000,336250000,6120000,32000000,-25880000,9,2018
Eintracht Frankfurt,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2018,Adi Hütter,34,12,54,24.8,29,6670000,313400000,18900000,28950000,-10050000,7,2018
Borussia Mönchengladbach,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2018,Dieter Hecking,34,13,55,25.2,17,8810000,264300000,32950000,32549999,400001,5,2018
VfL Wolfsburg,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2018,Bruno Labbadia,34,12,55,25.1,21,6370000,229250000,800000,36000000,-35200000,6,2018
FC Schalke 04,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2018,Domenico Tedesco,34,-18,33,25.1,24,5670000,221300000,46150000,62200000,-16050000,14,2018
Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2018,Pál Dárdai,34,-8,43,24.4,19,5770000,207630000,16900000,16000000,900000,11,2018
SV Werder Bremen,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2018,Florian Kohfeldt,34,9,53,25.8,18,5090000,168050000,26850000,25800000,1050000,8,2018
1.FSV Mainz 05,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2018,Sandro Schwarz,34,-11,43,24.7,20,4560000,159730000,56100000,30000000,26100000,12,2018
VfB Stuttgart,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2018,Tayfun Korkut,34,-38,28,24.9,17,4230000,143750000,13250000,45760000,-32510000,16,2018
FC Augsburg,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2018,Manuel Baum,34,-20,32,24.9,18,3480000,139250000,2850000,6650000,-3800000,15,2018
SC Freiburg,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2018,Christian Streich,34,-15,36,25.0,9,3590000,122100000,22680000,18400000,4280000,13,2018
Fortuna Düsseldorf,https://www.transfermarkt.com/fortuna-dusseldorf/startseite/verein/38/saison_id/2018,Friedhelm Funkel,34,-16,44,26.3,16,2790000,94950000,600000,7500000,-6900000,10,2018
Hannover 96,https://www.transfermarkt.com/hannover-96/startseite/verein/42/saison_id/2018,André Breitenreiter,34,-40,21,25.7,18,2470000,91430000,13540000,18520000,-4980000,17,2018
1.FC Nuremberg,https://www.transfermarkt.com/1-fc-nurnberg/startseite/verein/4/saison_id/2018,Michael Köllner,34,-42,19,25.2,11,1880000,54400000,0,4850000,-4850000,18,2018
Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2019,Niko Kovac,34,68,82,23.7,20,20460000,777330000,54000000,139500000,-85500000,1,2019
Borussia Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2019,Lucien Favre,34,43,69,24.5,19,17680000,654050000,132250000,148500000,-16250000,2,2019
RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2019,Julian Nagelsmann,34,44,66,23.0,26,15010000,570480000,45250000,79500000,-34250000,3,2019
Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2019,Peter Bosz,34,17,63,25.1,18,13760000,398950000,33500000,96000000,-62500000,5,2019
Borussia Mönchengladbach,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2019,Marco Rose,34,26,65,25.8,19,7490000,254700000,34100000,41500000,-7400000,4,2019
TSG 1899 Hoffenheim,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2019,Alfred Schreuder,34,0,52,26.3,25,6110000,226050000,121400000,55850000,65550000,6,2019
FC Schalke 04,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2019,David Wagner,34,-20,39,24.2,20,6710000,221580000,20450000,29500000,-9050000,12,2019
Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2019,Ante Covic,34,-11,41,24.2,20,5170000,217200000,23450000,110700000,-87250000,10,2019
Eintracht Frankfurt,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2019,Adi Hütter,34,-1,45,26.4,23,5970000,208980000,114800000,78340000,36460000,9,2019
VfL Wolfsburg,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2019,Oliver Glasner,34,2,49,24.7,23,5460000,207600000,14300000,37800000,-23500000,7,2019
SV Werder Bremen,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2019,Florian Kohfeldt,34,-27,31,26.2,18,3750000,135130000,0,13950000,-13950000,16,2019
SC Freiburg,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2019,Christian Streich,34,1,48,25.8,10,4090000,122650000,8100000,17500000,-9400000,8,2019
1.FSV Mainz 05,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2019,Sandro Schwarz,34,-21,37,23.9,19,3470000,121580000,27000000,28700000,-1700000,13,2019
FC Augsburg,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2019,Martin Schmidt,34,-18,36,25.4,17,3050000,112950000,20000000,31500000,-11500000,15,2019
1. FC Köln,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2019,Achim Beierlorzer,34,-18,36,25.3,12,2810000,98480000,6850000,20250000,-13400000,14,2019
Fortuna Düsseldorf,https://www.transfermarkt.com/fortuna-dusseldorf/startseite/verein/38/saison_id/2019,Friedhelm Funkel,34,-31,30,26.2,16,1940000,71780000,11600000,10750000,850000,17,2019
1.FC Union Berlin,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2019,Urs Fischer,34,-17,41,26.2,11,1210000,41200000,1250000,10050000,-8800000,11,2019
SC Paderborn 07,https://www.transfermarkt.com/sc-paderborn-07/startseite/verein/127/saison_id/2019,Steffen Baumgart,34,-37,20,25.3,14,903000,28900000,5800000,750000,5050000,18,2019
Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2020,Hansi Flick,34,55,78,23.9,21,19070000,858230000,22250000,77250000,-55000000,1,2020
Borussia Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2020,Lucien Favre,34,29,64,25.0,16,19640000,628400000,5500000,50000000,-44500000,3,2020
RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2020,Julian Nagelsmann,34,28,65,23.7,22,17970000,574950000,56500000,58000000,-1500000,2,2020
Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2020,Peter Bosz,34,14,52,25.0,21,11310000,373250000,91000000,46200000,44800000,6,2020
Borussia Mönchengladbach,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2020,Marco Rose,34,8,49,25.7,19,9110000,300750000,0,13500000,-13500000,8,2020
Eintracht Frankfurt,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2020,Adi Hütter,34,16,60,25.6,24,7480000,269150000,17700000,10750000,6950000,5,2020
VfL Wolfsburg,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2020,Oliver Glasner,34,24,61,26.0,20,8560000,256829999,11100000,22000000,-10900000,4,2020
Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2020,Bruno Labbadia,34,-11,35,24.4,21,6020000,228880000,10450000,31250000,-20800000,14,2020
TSG 1899 Hoffenheim,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2020,Sebastian Hoeneß,34,-2,43,25.1,25,6170000,228150000,17750000,4000000,13750000,11,2020
VfB Stuttgart,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2020,Pellegrino Matarazzo,34,1,45,23.8,16,5910000,189250000,7500000,14950000,-7450000,9,2020
1.FSV Mainz 05,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2020,Achim Beierlorzer,34,-17,39,24.9,18,4540000,163300000,13700000,2000000,11700000,12,2020
SC Freiburg,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2020,Christian Streich,34,0,45,25.2,13,4640000,139100000,37950000,14350000,23600000,10,2020
FC Schalke 04,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2020,David Wagner,34,-61,16,24.8,26,2730000,123050000,5850000,2000000,3850000,18,2020
1. FC Köln,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2020,Markus Gisdol,34,-26,33,24.9,16,3280000,118200000,15000000,18500000,-3500000,16,2020
SV Werder Bremen,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2020,Florian Kohfeldt,34,-21,31,25.2,15,3390000,111980000,11700000,11000000,700000,17,2020
FC Augsburg,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2020,Heiko Herrlich,34,-18,36,25.8,18,3000000,93050000,8700000,10300000,-1600000,13,2020
1.FC Union Berlin,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2020,Urs Fischer,34,7,50,25.8,10,2490000,82050000,6920000,1700000,5220000,7,2020
Arminia Bielefeld,https://www.transfermarkt.com/arminia-bielefeld/startseite/verein/10/saison_id/2020,Uwe Neuhaus,34,-26,35,24.9,16,1720000,56730000,100000,500000,-400000,15,2020
Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2021,Julian Nagelsmann,28,56,66,25.8,14,30940000,804500000,4000000,57500000,-53500000,1,2021
Borussia Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2021,Erling Haaland,28,26,57,25.1,18,18070000,560250000,108250000,45000000,63250000,2,2021
RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2021,Domenico Tedesco,28,30,48,24.3,19,17910000,465600000,113500000,107620000,5880000,4,2021
Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2021,Gerardo Seoane,28,26,51,24.7,20,16090000,434450000,43100000,55350000,-12250000,3,2021
VfL Wolfsburg,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2021,Florian Kohfeldt,27,-13,31,24.9,18,8450000,236500000,16350000,76180000,-59830000,13,2021
Borussia Mönchengladbach,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2021,Adi Hütter,27,-13,33,25.7,13,8470000,220300000,8700000,17000000,-8300000,12,2021
TSG 1899 Hoffenheim,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2021,Sebastian Hoeneß,28,8,44,25.2,17,7050000,211450000,850000,0,850000,6,2021
Eintracht Frankfurt,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2021,Oliver Glasner,28,1,39,25.1,20,6220000,199050000,28000000,8250000,19750000,9,2021
VfB Stuttgart,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2021,Pellegrino Matarazzo,28,-15,27,22.7,18,5210000,161500000,39820000,15850000,23970000,14,2021
SC Freiburg,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2021,Christian Streich,28,11,45,25.1,11,5650000,152580000,14550000,9500000,5050000,5,2021
1.FSV Mainz 05,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2021,Bo Svensson,26,9,37,25.2,13,4880000,122050000,18050000,6900000,11150000,10,2021
FC Augsburg,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2021,Markus Weinzierl,26,-15,26,25.9,17,3490000,97800000,12800000,24060000,-11260000,15,2021
Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2021,Felix Magath,28,-32,26,25.6,17,3110000,96330000,48500000,27400000,21100000,17,2021
1. FC Köln,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2021,Steffen Baumgart,28,-3,40,25.0,11,2940000,82380000,23450000,550000,22900000,8,2021
1.FC Union Berlin,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2021,Urs Fischer,28,-4,41,27.1,11,2610000,73000000,19550000,17550000,2000000,7,2021
Arminia Bielefeld,https://www.transfermarkt.com/arminia-bielefeld/startseite/verein/10/saison_id/2021,Frank Kramer,28,-16,26,24.8,16,2540000,63550000,500000,9800000,-9300000,16,2021
VfL Bochum,https://www.transfermarkt.com/vfl-bochum/startseite/verein/80/saison_id/2021,Thomas Reis,28,-10,35,27.3,12,1710000,49450000,350000,0,350000,11,2021
SpVgg Greuther Fürth,https://www.transfermarkt.com/spvgg-greuther-furth/startseite/verein/65/saison_id/2021,Stefan Leitl,28,-46,16,25.0,11,1210000,32750000,3550000,1400000,2150000,18,2021
Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2018,Massimiliano Allegri,38,40,90,25.0,25,14760000,871050000,111670000,263200000,-151530000,1,2018
SSC Napoli,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2018,Carlo Ancelotti,38,38,79,24.3,27,11980000,646800000,100800000,71000000,29800000,2,2018
Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2018,Luciano Spalletti,38,24,69,24.0,30,10300000,617930000,86600000,97600000,-11000000,4,2018
AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2018,Gennaro Gattuso,38,19,68,24.4,22,12860000,578480000,88100000,193770000,-105670000,5,2018
AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2018,Eusebio Di Francesco,38,18,66,23.7,27,8050000,459050000,150460000,164100000,-13640000,6,2018
Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2018,Gian Piero Gasperini,38,31,69,22.7,29,4179999,367680000,25060000,59300000,-34240000,3,2018
ACF Fiorentina,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2018,Stefano Pioli,38,2,41,22.9,36,5630000,315330000,43370000,57710000,-14340000,16,2018
SS Lazio,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2018,Simone Inzaghi,38,10,59,24.4,33,5110000,291150000,38600000,51280000,-12680000,8,2018
US Sassuolo,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2018,Roberto De Zerbi,38,-7,43,23.8,15,4099999,242050000,50380000,53150000,-2770000,11,2018
Torino FC,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2018,Walter Mazzarri,38,15,63,23.7,29,3860000,239230000,17200000,53150000,-35950000,7,2018
UC Sampdoria,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2018,Marco Giampaolo,38,9,53,23.5,30,3670000,216750000,90120000,55200000,34920000,9,2018
Udinese Calcio,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2018,Julio Velázquez,38,-14,43,24.7,41,3590000,201200000,13530000,49400000,-35870000,12,2018
Genoa CFC,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2018,Davide Ballardini,38,-18,38,23.8,35,2780000,191730000,84360000,58970000,25390000,17,2018
Cagliari Calcio,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2018,Rolando Maran,38,-18,41,25.9,18,3170000,155380000,7850000,23000000,-15150000,15,2018
Bologna FC 1909,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2018,Filippo Inzaghi,38,-8,44,25.0,27,2490000,119680000,44990000,31220000,13770000,10,2018
Empoli FC,https://www.transfermarkt.com/fc-empoli/startseite/verein/749/saison_id/2018,Aurelio Andreazzoli,38,-19,38,24.1,24,1790000,105600000,22900000,17300000,5600000,18,2018
SPAL,https://www.transfermarkt.com/spal/startseite/verein/2722/saison_id/2018,Leonardo Semplici,38,-12,42,25.3,20,1910000,97400000,1850000,21900000,-20050000,13,2018
Parma Calcio 1913,https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130/saison_id/2018,Roberto D'Aversa,38,-20,41,25.6,20,1370000,95750000,596000,20400000,-19804000,14,2018
Chievo Verona,https://www.transfermarkt.com/chievo-verona/startseite/verein/862/saison_id/2018,Lorenzo D'Anna,38,-50,17,24.7,32,804000,54700000,17620000,9470000,8150000,20,2018
Frosinone Calcio,https://www.transfermarkt.com/frosinone-calcio/startseite/verein/8970/saison_id/2018,Moreno Longo,38,-40,25,25.8,10,1240000,54530000,800000,9560000,-8760000,19,2018
Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2019,Maurizio Sarri,38,33,83,26.8,23,17420000,661880000,203140000,230500000,-27360000,1,2019
Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2019,Antonio Conte,38,45,82,26.7,18,17830000,606050000,66690000,191720000,-125030000,2,2019
SSC Napoli,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2019,Carlo Ancelotti,38,11,62,26.7,24,16610000,548280000,48280000,194720000,-146440000,7,2019
AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2019,Marco Giampaolo,38,17,66,25.2,22,10930000,404330000,59230000,114780000,-55550000,6,2019
AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2019,Paulo Fonseca,38,26,70,25.6,23,10910000,392730000,106380000,117400000,-11020000,5,2019
SS Lazio,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2019,Simone Inzaghi,38,37,78,26.1,24,8940000,303880000,34700000,46880000,-12180000,4,2019
ACF Fiorentina,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2019,Vincenzo Montella,38,3,49,24.7,28,7200000,302230000,15320000,56540000,-41220000,10,2019
Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2019,Gian Piero Gasperini,38,50,78,24.9,26,7880000,291430000,97100000,60060000,37040000,3,2019
US Sassuolo,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2019,Roberto De Zerbi,38,6,51,24.3,17,3820000,167980000,51950000,66090000,-14140000,8,2019
Cagliari Calcio,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2019,Rolando Maran,38,-4,45,25.8,16,4090000,167830000,18760000,41600000,-22840000,14,2019
Torino FC,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2019,Walter Mazzarri,38,-22,40,24.7,17,4420000,163550000,24400000,28800000,-4400000,16,2019
Genoa CFC,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2019,Aurelio Andreazzoli,38,-26,39,26.2,25,3310000,142380000,66250000,50370000,15880000,17,2019
UC Sampdoria,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2019,Eusebio Di Francesco,38,-17,42,25.1,19,3560000,135280000,74390000,64950000,9440000,15,2019
Bologna FC 1909,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2019,Sinisa Mihajlovic,38,-13,47,24.5,26,3240000,129650000,28680000,67040000,-38360000,12,2019
Parma Calcio 1913,https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130/saison_id/2019,Roberto D'Aversa,38,-1,49,26.1,19,3220000,128750000,18160000,23310000,-5150000,11,2019
Udinese Calcio,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2019,Igor Tudor,38,-14,45,24.9,28,3100000,121080000,59870000,12600000,47270000,13,2019
Hellas Verona,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2019,Ivan Juric,38,-4,49,25.0,19,2810000,112530000,43670000,22690000,20980000,9,2019
Brescia Calcio,https://www.transfermarkt.com/brescia-calcio/startseite/verein/19/saison_id/2019,Eugenio Corini,38,-44,25,25.9,10,2520000,83230000,100000,18650000,-18550000,19,2019
SPAL,https://www.transfermarkt.com/spal/startseite/verein/2722/saison_id/2019,Leonardo Semplici,38,-50,20,25.6,23,1750000,73630000,39450000,26150000,13300000,20,2019
US Lecce,https://www.transfermarkt.com/us-lecce/startseite/verein/1005/saison_id/2019,Fabio Liverani,38,-33,35,25.0,17,1110000,52330000,450000,6200000,-5750000,18,2019
Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2020,Antonio Conte,38,54,91,25.2,22,16190000,663900000,82550000,125500000,-42950000,1,2020
Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2020,Maurizio Sarri,38,39,78,24.7,26,14070000,633300000,107510000,155310000,-47800000,4,2020
AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2020,Stefano Pioli,38,33,79,23.9,27,13040000,547780000,47950000,34420000,13530000,2,2020
SSC Napoli,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2020,Gennaro Gattuso,38,45,77,26.0,21,16570000,530200000,122060000,77500000,44560000,5,2020
Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2020,Gian Piero Gasperini,38,43,78,25.0,21,11030000,430000000,73100000,59340000,13760000,3,2020
AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2020,Paulo Fonseca,38,10,62,24.6,28,8600000,395650000,47000000,72100000,-25100000,7,2020
SS Lazio,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2020,Simone Inzaghi,38,6,68,25.6,32,7420000,326330000,6950000,41620000,-34670000,6,2020
ACF Fiorentina,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2020,Giuseppe Iachini,38,-12,40,25.7,24,7000000,286800000,59400000,48500000,10900000,13,2020
US Sassuolo,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2020,Roberto De Zerbi,38,8,62,24.9,18,6200000,241740000,61860000,28500000,33360000,8,2020
Cagliari Calcio,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2020,Walter Zenga,38,-16,37,25.4,19,4470000,187830000,42110000,33800000,8310000,16,2020
Torino FC,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2020,Moreno Longo,38,-19,37,25.4,22,4380000,175280000,27000000,46150000,-19150000,17,2020
Udinese Calcio,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2020,Luca Gotti,38,-16,40,25.8,30,4120000,173000000,30900000,21500000,9400000,14,2020
Hellas Verona,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2020,Ivan Juric,38,-2,45,24.2,20,3420000,157210000,5300000,15750000,-10450000,10,2020
Bologna FC 1909,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2020,Sinisa Mihajlovic,38,-14,41,24.1,27,3410000,153600000,5000000,3150000,1850000,12,2020
Parma Calcio 1913,https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130/saison_id/2020,Roberto D'Aversa,38,-44,20,25.1,30,2430000,128699999,4300000,104330000,-100030000,20,2020
